2024-08-31 23:32:15.325 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:32:15.325 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:32:15.330 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:32:25.334 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:32:25.334 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:32:25.334 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:32:25.338 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:32:35.352 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:32:35.352 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:32:35.352 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:32:35.354 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:32:45.364 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:32:45.364 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-31 23:32:45.364 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:32:45.371 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-31 23:32:45.371 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:32:45.371 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:32:45.371 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:32:45.377 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:32:55.382 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:32:55.382 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:32:55.382 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:32:55.384 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:33:05.396 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:33:05.396 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:33:05.396 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:33:05.398 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:33:15.400 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:33:15.400 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:33:15.400 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:33:15.402 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:33:25.414 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:33:25.414 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
